track_name,artist,album,release_date,duration,popularity,explicit,track_number,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri
船窓,Emerson Kitamura,船窓 / おろかな指,2022-08-03,210800,22,False,1,0.688,0.297,3,-15.369,1,0.0636,0.505,0.921,0.113,0.0391,124.007,spotify:track:75q97me0dAUd7GDbilPCiu
I Found What I've Been Searching For,La'Verne Washington,The Promise / I Found What I've Been Searching For,2020-08-21,259540,29,False,2,0.53,0.694,1,-4.774,1,0.0374,0.282,0.0,0.279,0.474,149.533,spotify:track:1OvyyA8AHjfAdDmnM6KOlY
"Good Thoughts, Bad Thoughts",Funkadelic,Standing On The Verge Of Getting It On,1974-07-10,737130,41,False,7,0.398,0.306,4,-17.293,0,0.0363,0.934,0.0121,0.215,0.293,108.145,spotify:track:2jIMUFk9VGIOUYTWyx2pC5
Such a Feeling,Aurra,Live and Let Live,1983-01-01,321533,0,False,1,0.767,0.784,0,-6.8,1,0.0592,0.153,1.66e-05,0.0557,0.708,108.005,spotify:track:6avNBU8cdaICX5wDd2cINn
High John,MAVI,"Laughing so Hard, it Hurts",2022-10-14,130156,57,True,1,0.545,0.54,11,-10.01,1,0.48,0.718,0.0,0.207,0.657,170.387,spotify:track:55liByWjb2T7j0vohSel10
No Passa,2fox,Peace of Mind,2022-10-28,217621,0,False,2,0.774,0.716,0,-7.907,1,0.0632,0.0283,0.0479,0.172,0.686,125.01,spotify:track:2jT3SPpQCkkHilhF799MUR
The Dreaming Moon,The Magnetic Fields,Get Lost,1995-09-19,204800,46,False,13,0.501,0.851,9,-10.885,1,0.0326,0.0478,0.77,0.0642,0.949,164.016,spotify:track:3aVBGDsM3G8QXAmS9O5nqG
nyc in 1940,berlioz,nyc in 1940,2022-06-03,156611,67,False,1,0.839,0.482,9,-13.931,0,0.121,0.337,0.89,0.0859,0.585,116.998,spotify:track:6loDuwmsq6fazVxqqRhmcp
Sour Face - dego Remix,Bryony Jarman-Pinto,Sour Face: dego & 2000Black Remixes,2020-10-08,252959,29,False,1,0.852,0.694,2,-7.173,1,0.0483,0.277,0.00138,0.12,0.908,122.001,spotify:track:4De3lEHnFuHMb3ZJjfQVa8
When There’S Love Around (Remastered) - Live,The Crusaders,New Orleans Jazz And Heritage Festival April 19Th 1977 - Live (Remastered),1977,604053,0,False,2,0.54,0.705,1,-10.62,1,0.0524,0.703,0.473,0.551,0.683,111.403,spotify:track:400Zk25frc68xg3fgxRaSR
Downtown,Sally C,Big Saldo's Chunker 002,2022-04-22,322009,29,False,2,0.768,0.942,0,-8.336,1,0.0538,0.00103,0.332,0.389,0.603,129.008,spotify:track:1YvlimLxXzHQIE476nBFws
Soft Peng - JD. Reid Remix,Ebi Soda,Soft Peng (JD. Reid Remix),2023-01-17,266775,11,False,1,0.659,0.52,4,-12.157,0,0.0717,0.163,0.366,0.106,0.476,160.064,spotify:track:4zHdM8eguZBF1TC3C8bTNm
Reasons,Ishmael Ensemble,Reasons,2023-01-13,292495,18,False,1,0.313,0.537,10,-9.913,0,0.0822,0.0167,0.0657,0.102,0.17,171.362,spotify:track:0afUusMZLIOvAJNdAoDRQm
Spiral,The Vernon Spring,A Plane Over Woods,2021-03-26,60173,51,False,6,0.301,0.114,6,-21.377,0,0.0656,0.946,0.882,0.11,0.341,179.211,spotify:track:2EkXlmrnIdCWrSgt9CqgZ9
Something to Do in the Future,Ebi Soda,Ugh,2020-05-22,166034,46,False,9,0.564,0.419,1,-10.054,1,0.0366,0.863,0.957,0.0847,0.151,72.44,spotify:track:6XDmTtxkGHoBau4iyV977T
Nature's Ratio,Slowly Rolling Camera,Juniper,2018-07-06,117946,54,False,6,0.0,0.0473,7,-16.737,1,0.0,0.979,0.959,0.187,0.0,0.0,spotify:track:1MSRIh0BHzrMMUQGlV6I5o
The Duke,DARGZ,The Duke,2022-01-28,110869,54,False,1,0.626,0.536,6,-7.407,0,0.112,0.485,0.393,0.103,0.635,91.17,spotify:track:6Sn8gX7ls3ub1mKEpvBD5S
Ada,Nala Sinephro,Touching Bass presents: Soon Come,2022-07-01,80083,36,False,9,0.295,0.131,6,-14.901,0,0.0389,0.995,0.864,0.151,0.0555,77.219,spotify:track:7glonKcaKhAmoK5MiewROa
"Now (Pink Triangle, Blue Valley)",Alabaster DePlume,GOLD,2022-04-01,426640,12,False,19,0.287,0.226,3,-13.168,0,0.0352,0.915,0.907,0.151,0.112,100.017,spotify:track:1BevvrRMPfzf4vo74MoX67
Peace Be Unto You (PBUY),Asake,Peace Be Unto You (PBUY),2022-06-16,153103,49,False,1,0.808,0.769,7,-7.207,0,0.0833,0.101,4.12e-05,0.119,0.685,116.001,spotify:track:1mJFFeluclL38IwV264lm9
Black Mona Lisa,Braxton Cook,Indie,2023-01-13,344428,0,False,3,0.3,0.619,8,-7.436,1,0.0414,0.457,0.185,0.112,0.118,92.095,spotify:track:4ah8uApF3wLXMuOUds7ORU
Ruby Smiles,Reuben James,Tunnel Vision,2022-04-29,69000,0,False,5,0.802,0.711,11,-11.107,0,0.0439,0.381,0.839,0.106,0.962,89.992,spotify:track:2UU8k7GriFSixuYbgO3axz
Walk Cycle,The JuJu Exchange,Walk Cycle,2022-04-27,192013,0,False,1,0.525,0.61,5,-9.312,0,0.0441,0.224,0.901,0.102,0.538,85.028,spotify:track:6zX73swV0JYKmOUSBpqLSt
Tony Sendo,Underground Canopy,Bluestaeb and S. Fidelity Present Underground Canopy,2020-01-31,230739,0,False,5,0.558,0.531,2,-9.419,0,0.0486,0.122,0.66,0.145,0.414,140.952,spotify:track:3RqwEzOP1pZk01MM4g0mbH
UC Visions,Underground Canopy,Bluestaeb and S. Fidelity Present Underground Canopy,2020-01-31,620731,0,False,7,0.494,0.428,9,-11.628,0,0.0703,0.116,0.726,0.0767,0.536,83.012,spotify:track:4Uhf1QfKBpfR1DrAmRgCWL
Juego de Olas,Pachakuti,Juego de Olas,2021-05-12,128026,40,False,1,0.733,0.516,9,-13.241,0,0.101,0.249,0.825,0.106,0.167,89.977,spotify:track:5SwOsQVVYTBdvrtoE70KNR
Picking Up (feat. Deb Never),Biig Piig,Picking Up (feat. Deb Never),2022-12-08,175520,25,True,1,0.606,0.676,7,-7.427,1,0.0969,0.171,0.0,0.112,0.253,85.022,spotify:track:2liSXJK5oGKFch8OZ0Uinn
Olhos Coloridos,Sandra De Sá,Sandra de Sá - 1982,1982-01-01,267266,48,False,1,0.842,0.549,5,-10.857,0,0.0447,0.17,0.00122,0.0804,0.967,96.566,spotify:track:45XopGhwYSgooiewaZNsSd
Mixed Signals,S. Fidelity,Fidelity Radio Club,2021-04-09,168625,36,False,3,0.678,0.247,1,-8.424,1,0.342,0.0248,0.524,0.0489,0.803,184.259,spotify:track:6Py9k0mYiUwRkY9JvB1GaT
Ovule (feat. Shygirl) [Sega Bodega Remix],Björk,Ovule (feat. Shygirl) [Sega Bodega Remix],2023-01-20,224827,3,False,1,0.664,0.679,8,-7.263,1,0.106,0.434,4.92e-05,0.456,0.134,103.908,spotify:track:6wfnKqy0C9xUrxZVgzHz8C
Lady - Ezra Collective Version,Ezra Collective,Lady (Ezra Collective Version),2023-01-10,347266,41,False,1,0.499,0.727,1,-8.806,0,0.111,0.00317,0.842,0.118,0.561,125.433,spotify:track:3pOT3YM1WPFsCyQIRgSBNP
In the Dark,Biig Piig,Bubblegum,2023-01-20,139493,48,False,7,0.72,0.544,4,-9.161,0,0.0303,0.142,0.0135,0.24,0.435,113.535,spotify:track:1so2V5ZMQyROuspjpuThDn
Everything,Gotts Street Park,Everything,2020-10-06,215573,61,False,1,0.659,0.495,0,-9.316,1,0.0488,0.139,0.205,0.203,0.616,82.126,spotify:track:3ELZG2YLGrwCVesooFyF4e
Summer Breeze,Ramsey Lewis,Solar Wind,1974-08-08,290360,32,False,6,0.622,0.515,11,-11.282,0,0.0347,0.363,0.913,0.12,0.707,87.769,spotify:track:3F0yjKvYkEBs8oQfUe64kL
Sweet and Tender You,Ramsey Lewis,Solar Wind,1974-08-08,346200,9,False,1,0.785,0.882,0,-8.259,0,0.0401,0.0835,0.903,0.123,0.884,135.658,spotify:track:1poM8pdZjBrDZMlHHvsOXG
Come Down In Time,Ramsey Lewis,Solar Wind,1974-08-08,292000,6,False,8,0.53,0.428,7,-15.047,1,0.0864,0.62,0.746,0.0764,0.13,115.82,spotify:track:5u2VLWYdFnb4yyR3xrn7YV
Love for a Day,Ramsey Lewis,Solar Wind,1974-08-08,296440,9,False,9,0.638,0.803,7,-9.912,0,0.048,0.00565,0.437,0.0505,0.918,169.955,spotify:track:7B3AsXHluZn9T6Cnp48j00
3210,Jeshi,Universal Credit,2022-05-27,191520,29,False,7,0.758,0.612,6,-7.876,1,0.244,0.683,0.0173,0.113,0.426,140.071,spotify:track:5o3UjkMXVuXH9ioZc4cqu2
3210 - Ross from Friends Remix,Jeshi,3210 (Ross from Friends Remix),2022-03-30,352664,35,True,1,0.69,0.725,6,-9.94,0,0.2,0.0392,0.00474,0.116,0.358,140.05,spotify:track:1PfbIpFjsS1BayUoqB3X7O
What You Say?,Young Marco,What You Say?,2023-01-13,203688,55,False,1,0.687,0.746,6,-9.043,0,0.0484,0.033,0.00113,0.107,0.163,136.03,spotify:track:22quZFeltYbo325rn3ktTe
Kepko,Sega Bodega,Kepko,2022-11-09,192453,37,False,1,0.599,0.814,11,-9.001,0,0.0661,0.277,0.535,0.272,0.375,151.207,spotify:track:5VChaeq6hagzFFwDsWETyz
Be There in the Morning - 1977 Version,Renee Geyer,Be There in the Morning,2014-05-26,255113,22,False,1,0.613,0.886,2,-9.332,0,0.0633,0.0632,1.41e-06,0.166,0.675,104.941,spotify:track:6NcIy8zARjYw8fmpoq4NuB
Crazy Days,Forest,Crazy Days,1978,314120,0,False,1,0.545,0.853,7,-8.685,0,0.0355,0.386,0.0151,0.0797,0.95,104.194,spotify:track:65iRAmwMawBQ5Duu1oJFtf
Colours of Excitement,Rimona Francis,Rimona Francis,2015-03-27,432930,3,False,2,0.422,0.482,0,-15.179,1,0.0549,0.448,5.63e-05,0.0997,0.297,111.632,spotify:track:1NbJITtXyDb5XGwkdZd1Wa
That's What She Says,Manfredo Fest,Brazilian Dorian Dream,1976,247763,24,False,4,0.567,0.391,2,-13.372,1,0.0296,0.905,0.96,0.113,0.609,134.604,spotify:track:0zvWgIXtLEh0gjV53L551k
Breezin',Gábor Szabó,High Contrast,1971-01-01,191293,41,False,1,0.526,0.589,2,-11.109,1,0.0377,0.542,0.894,0.068,0.95,86.636,spotify:track:6vgX6B5beQ0SXbmIDwZBDJ
Paz & Amor,young.vishnu,Paz & Amor,2023-01-06,172683,15,False,1,0.471,0.588,0,-6.579,0,0.0605,0.108,0.795,0.139,0.852,87.876,spotify:track:0BSnOgCXl9KlR78wTDk1cZ
Trudi's Mood,Ruby Rushton,"Trudi's Songbook, Vol. 1",2018-08-24,93975,44,False,3,0.68,0.252,10,-21.361,0,0.052,0.239,0.0887,0.071,0.802,82.441,spotify:track:1TaVuTJt4KaZ3od5tGYSnv
Sun Khosi,Ruby Rushton,Sun Khosi,2020-05-22,236886,33,False,1,0.521,0.511,2,-10.509,1,0.0674,0.595,0.793,0.0761,0.412,108.327,spotify:track:0TFR4fugISTa7kMxqY6JJj
Chrysalis,Ruby Rushton,Sun Khosi,2020-06-19,195758,28,False,2,0.63,0.469,1,-12.516,1,0.0391,0.34,0.833,0.106,0.327,125.404,spotify:track:0QnMlVU9nzsYTirHBw2K0Z
Trance - ReBirth,Javier Santiago,ReBirth - EP,2020-09-18,97790,49,False,6,0.646,0.588,6,-8.693,1,0.322,0.438,0.693,0.141,0.194,90.891,spotify:track:0u19PefWd2fPyhPL7grgq5
Ancestor's Blues,Javier Santiago,ReBirth - EP,2020-09-18,120400,40,False,4,0.684,0.469,9,-9.534,1,0.159,0.83,0.169,0.129,0.506,89.775,spotify:track:1ThFoMvpFdybIqmjNOOqAE
Prelude,Janko Nilovic,Maze of Sounds,2020-11-06,168597,0,False,1,0.747,0.261,9,-13.339,0,0.0361,0.694,0.864,0.184,0.471,92.535,spotify:track:0IS2idVq8YrApjuAfJLwEW
Wavy,Janko Nilovic,Maze of Sounds,2020-11-06,191823,0,False,6,0.548,0.693,5,-10.499,0,0.041,0.0858,0.944,0.0758,0.857,81.469,spotify:track:0W0R48uImgPVVJgb5YTC3I
Love Proceeding - Macroblank Remix,BADBADNOTGOOD,Love Proceeding (Macroblank Remix),2022-12-14,324143,28,False,1,0.539,0.584,6,-8.75,0,0.0398,0.101,0.638,0.0813,0.254,134.033,spotify:track:58C4XgtfeCDVveVJZuuDGG
It Never Ends,Janko Nilovic,Maze of Sounds,2020-11-06,198859,0,False,8,0.674,0.449,9,-9.244,0,0.0536,0.141,0.792,0.07,0.893,94.742,spotify:track:73ReJoa9nc9HXnHIbKI1pA
You Ready,Telemakus,The New Heritage,2021-10-13,184113,26,False,2,0.442,0.609,1,-10.341,1,0.162,0.0785,0.581,0.151,0.424,89.203,spotify:track:2za5XDKEFe8kTOi0w2kPIf
All of This,Telemakus,The New Heritage,2021-10-13,238484,19,False,5,0.424,0.523,4,-11.01,0,0.198,0.192,0.383,0.166,0.588,80.479,spotify:track:5AWUYd6Hy1zS1wyUSOyDN1
Peace,Little Dragon,Opening The Door,2022-09-16,303884,24,False,3,0.567,0.606,1,-12.267,1,0.0364,0.697,0.763,0.0843,0.318,116.008,spotify:track:1uZfIVo26fdEM98FpdmYxw
City Dreams,Telemakus,The New Heritage,2021-10-13,298067,24,False,7,0.578,0.627,10,-10.47,0,0.0683,0.277,0.693,0.158,0.429,79.864,spotify:track:1fFmd1dNthme62J8Kvmkhb
Stoplight,Telemakus,The New Heritage,2021-10-13,124001,26,False,8,0.8,0.42,7,-13.108,1,0.283,0.0739,0.871,0.128,0.727,93.939,spotify:track:7EkcI6nlz0ct7RTYzEsVo6
Greeting To Saud (Brother McCoy Tyner),Pharoah Sanders,Elevation (Live),1973-01-01,247240,29,False,2,0.161,0.361,5,-14.0,0,0.034,0.873,0.465,0.292,0.201,131.759,spotify:track:1qqIjiurhqrgacNG9uWCuG
throwback,Moses Yoofee Trio,throwback,2022-04-08,181745,26,False,1,0.412,0.523,7,-12.93,0,0.0401,0.685,0.928,0.0878,0.297,89.573,spotify:track:3irIiyH7fCXmZQrNJf7ypH
Summer - Live,Yetii,Live at The Greenbank,2022-11-24,372813,1,False,4,0.371,0.0656,0,-25.333,0,0.0396,0.958,0.896,0.628,0.0398,97.743,spotify:track:12y7HK7B16Hsj2LOueJ6jZ
Donny In Valdez,Pale Jay,The Celestial Suite,2021-10-22,174668,52,False,2,0.511,0.543,4,-7.638,0,0.0308,0.382,0.559,0.476,0.602,149.016,spotify:track:2DDotwiQOexZwpf2uH83gC
Dos Uvas,Pale Jay,The Celestial Suite,2021-10-22,209280,58,False,3,0.482,0.698,7,-6.191,0,0.0313,0.0534,0.866,0.134,0.321,76.495,spotify:track:0cr4j4bhchcuO86N9wAvH8
Under The Magnolia Tree,Pale Jay,The Celestial Suite,2021-10-22,187295,67,False,5,0.543,0.699,6,-4.685,0,0.0309,0.315,0.526,0.123,0.557,172.144,spotify:track:3taMsBBraU23lStSSq3QuH
Donny In Valdez - PJ's Flip,Pale Jay,Donny In Valdez (PJ's Flip),2022-05-20,113747,57,False,1,0.445,0.637,0,-9.011,0,0.124,0.463,1.56e-06,0.185,0.763,81.566,spotify:track:1aZ2te6hhXVJOYumYrZkAt
Resilience,The JuJu Exchange,JazzRx: Hope Dose,2022-11-11,156813,0,False,1,0.507,0.525,9,-12.246,1,0.0841,0.139,0.689,0.0889,0.208,105.417,spotify:track:7gtcPqB5XiozK3wMzESKAO
Gualala 2,Mac DeMarco,Five Easy Hot Dogs,2023-01-20,146280,39,False,2,0.556,0.24,7,-20.019,1,0.0578,0.931,0.936,0.121,0.536,168.015,spotify:track:4HttvxXJDIkYzhhS8jFdW9
Portland,Mac DeMarco,Five Easy Hot Dogs,2023-01-20,185080,39,False,4,0.826,0.469,2,-15.118,1,0.0542,0.682,0.823,0.112,0.968,75.487,spotify:track:3dHfG1FAoW7jyx4v1meQho
High,muva of Earth,High,2022-07-27,176611,36,False,1,0.523,0.544,8,-7.607,0,0.143,0.206,0.024,0.125,0.379,167.839,spotify:track:1x5hj8iVP3vGOcO1at3hEV
Chicago 2,Mac DeMarco,Five Easy Hot Dogs,2023-01-20,132320,35,False,13,0.511,0.18,1,-14.739,1,0.142,0.901,0.919,0.104,0.74,49.816,spotify:track:0Uydq1bBE9swRDFkinCcAc
Cosmic Bloom,Dumbo Gets Mad,Thank You Neil,2015-12-04,66065,47,False,9,0.622,0.471,1,-10.281,1,0.0363,0.882,0.846,0.0927,0.421,101.246,spotify:track:1CE6ORhLLyvBopnVdDVf3z
Peace v3,Mr. G,Inner Soul Talkin' EP,2021-08-09,375747,1,False,3,0.583,0.665,0,-11.706,1,0.0365,8.74e-05,0.913,0.0793,0.438,125.982,spotify:track:6dyVulpNR4pdPPiY5xivdn
DiVine Ascension,muva of Earth,DiVine Ascension,2021-08-04,269589,30,False,1,0.697,0.549,9,-11.682,0,0.133,0.584,0.0152,0.179,0.371,146.073,spotify:track:4nm2iwvavAyduOTOqiq8PF
OBiNRiN - IZCO Remix,DIVINEANGEL,OBiNRiN Remixes,2022-10-28,179659,45,False,2,0.736,0.53,1,-8.657,1,0.0572,0.0704,0.384,0.159,0.791,88.0,spotify:track:10y1PJ6s7JVLmFlcvhF8eM
soulboy - IZCO Remix,p-rallel,soulboy (IZCO Remix),2020-08-28,229320,55,False,1,0.624,0.688,6,-4.075,0,0.0431,0.0331,0.00976,0.146,0.558,154.98,spotify:track:3G1YAm52YxIp0jlxalE0hK
FEEL,IZCO,TEK 5,2018-11-16,217058,36,False,2,0.725,0.128,0,-13.729,0,0.187,0.44,0.281,0.149,0.353,136.44,spotify:track:6NjKZDQtEuMySYu4yaZWVA
Can't Get Enough (feat. Rachel Chinouriri & Venna),p-rallel,Can't Get Enough (feat. Rachel Chinouriri & Venna),2022-03-23,197277,43,False,1,0.744,0.559,9,-9.848,0,0.137,0.2,0.0349,0.142,0.463,120.008,spotify:track:7JqYAc8ACWC32Qc6JiQSSi
Believe (feat. Fredwave & Jeshi),p-rallel,Believe (feat. Fredwave & Jeshi),2021-10-29,208439,40,False,1,0.736,0.612,1,-9.645,1,0.104,0.028,0.119,0.138,0.038,124.011,spotify:track:2DLxohwNmcbWktWGVG0dN7
To The Floor,Lil Silva,To The Floor,2022-07-11,189422,29,False,1,0.692,0.672,6,-10.48,0,0.0403,0.0395,0.924,0.0939,0.441,114.008,spotify:track:7huFrzl3tBNxSr8tp6zyDf
Akasha,Nanna.B,Akasha,2022-12-02,232988,15,False,1,0.69,0.56,9,-10.666,1,0.0501,0.306,0.114,0.0773,0.537,139.985,spotify:track:6PbMqf275SPRUxz0LmDe4A
THE zone~,Lil Yachty,Let’s Start Here.,2023-01-27,249685,54,False,6,0.538,0.681,6,-5.603,1,0.0315,0.0122,0.197,0.557,0.462,81.982,spotify:track:2alpVcC9RxRWS1eSMGeAAP
drive ME crazy!,Lil Yachty,Let’s Start Here.,2023-01-27,229804,75,True,8,0.497,0.825,10,-3.621,0,0.0925,0.172,0.00319,0.377,0.44,107.073,spotify:track:6luBKkFUt5wTwz7hpLhp12
Feel Good,slowthai,Feel Good,2023-02-07,124768,38,False,1,0.594,0.893,11,-6.387,0,0.0509,6.29e-05,0.000215,0.185,0.567,156.045,spotify:track:37Q6kTk6hb3nqMCo6KaFln
Cinamin,Calibre,Cinamin / Samba,2023-02-10,451595,8,False,1,0.799,0.833,1,-16.537,0,0.0426,0.0979,0.901,0.0713,0.272,120.995,spotify:track:1GeMq72a04fpuTH1taLqI8
Angel Number 909 - Acidhouse Mix,Mr. Ho,Angel Number 909,2023-02-10,311809,27,False,2,0.775,0.97,11,-8.995,1,0.0628,0.0154,0.884,0.0584,0.967,124.012,spotify:track:7KinsrCi8YFBqp1ZNbJHU6
The Dark Past,St. David,BND Project Vol 3,2022-12-09,391000,14,False,2,0.803,0.95,11,-7.679,0,0.0583,0.00837,0.694,0.0356,0.394,123.98,spotify:track:6WTISkeuw3zeBri5txyi4s
Samba,Calibre,Cinamin / Samba,2023-02-10,443358,9,False,2,0.798,0.408,7,-13.858,1,0.0534,0.0309,0.815,0.0672,0.294,120.007,spotify:track:7tAPVwNmSX5BlHPKU0weAm
Away With Me - Calibre Remix,SpectraSoul,Away With Me,2012-06-17,314269,29,False,3,0.708,0.726,1,-6.054,1,0.071,0.114,0.51,0.104,0.315,173.998,spotify:track:1yYgKlP0pPmGU6Aa5GwAVZ
Even If - Original Mix,Calibre,Even If,2010-11-22,454252,43,False,2,0.459,0.803,7,-8.369,0,0.0438,0.00166,0.522,0.471,0.481,174.991,spotify:track:5nVkaIXaqQtoMX4V1jncdO
I Remember,DRS,I Remember,2023-02-10,345962,24,False,1,0.778,0.662,7,-6.838,1,0.0889,0.0154,0.327,0.0539,0.429,86.508,spotify:track:50XoRFlGUmOq3awHidb9cB
C U R R E N T,Photay,An Offering,2022-10-14,215640,14,False,2,0.222,0.237,2,-14.306,1,0.0368,0.965,0.814,0.0878,0.0778,119.795,spotify:track:7z0f6k5GxatS3T8AioPAkx
Тизита,СОЮЗ,II,2019-05-14,205830,32,True,2,0.494,0.567,5,-11.212,1,0.0278,0.0938,0.882,0.0969,0.888,165.972,spotify:track:2t5KqrNQYrrJBtH3jB4IDZ
Back to you,alici,Back to you,2022-08-05,248250,30,False,1,0.721,0.403,1,-12.091,1,0.0377,0.162,0.408,0.111,0.707,125.923,spotify:track:5JIktP5Tdr1Azs6xAQGssi
Andromeda,Ethel,Andromeda,2022-05-06,123000,0,False,1,0.632,0.615,11,-5.426,1,0.162,0.531,0.0536,0.111,0.507,82.924,spotify:track:7G4KKZXXXwm7HCWTwTLuXU
You Can Be A Star,Luther Davis,Soul Cal,2012-03-27,277000,31,False,1,0.73,0.641,9,-6.16,0,0.0646,0.409,0.00323,0.208,0.802,130.559,spotify:track:4TdV9OY8ijccLcCvxOEU3C
First Light,Ill Considered,Liminal Space,2021-09-10,456653,21,False,1,0.313,0.793,4,-7.431,0,0.0592,0.0367,0.876,0.101,0.539,115.159,spotify:track:7g49aCQEGFGVoNgbS0dik0
Mercury Comet Caliente,Pearl & The Oysters,Canned Music,2018-11-23,158880,0,False,12,0.664,0.412,2,-9.393,0,0.0273,0.648,0.167,0.129,0.374,123.025,spotify:track:2NVeUXTBQ4jnB1ZLNWePwG
Konami,Pearl & The Oysters,Konami,2023-01-31,168786,3,False,1,0.574,0.854,5,-8.312,0,0.0858,0.0199,0.00559,0.18,0.821,173.963,spotify:track:4CJ4WBeEZZVFulKVS6zmqz
